epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,617.852,1.15055,1.02122,1.4436,0.76973,0.51829,0.63836,0.40635,1.88401,1.74807,2.16468,0.00121591,0.00121591,0.00121591
43,632.57,1.15172,0.99603,1.43029,0.74213,0.64044,0.6665,0.42044,1.86224,1.54469,2.21052,0.00120491,0.00120491,0.00120491
44,647.075,1.1472,1.02185,1.43624,0.6171,0.62261,0.67457,0.41134,1.79057,1.52309,2.18715,0.00119391,0.00119391,0.00119391
45,661.67,1.13972,0.99353,1.40667,0.83752,0.60387,0.70485,0.40041,1.8526,1.62734,2.16872,0.0011829,0.0011829,0.0011829
46,676.299,1.1855,0.97358,1.44579,0.71172,0.64319,0.6875,0.40085,1.81637,1.74177,2.2231,0.0011719,0.0011719,0.0011719
47,691.607,1.21535,1.03828,1.43311,0.62669,0.66671,0.66045,0.40157,1.9653,1.72701,2.25119,0.0011609,0.0011609,0.0011609
48,706.81,1.11553,0.93492,1.41973,0.69679,0.55219,0.65384,0.39459,1.82712,1.64035,2.19062,0.0011499,0.0011499,0.0011499
49,721.864,1.05996,0.88059,1.38113,0.70145,0.61044,0.67496,0.41452,1.83236,1.68907,2.2092,0.00113889,0.00113889,0.00113889
50,738.63,1.05839,0.86186,1.35534,0.75702,0.53913,0.64274,0.40624,1.85435,1.66163,2.18829,0.00112789,0.00112789,0.00112789
51,753.995,1.0471,0.90749,1.37832,0.64955,0.634,0.6223,0.40553,1.8445,1.70577,2.26356,0.00111689,0.00111689,0.00111689
52,769.169,1.07752,0.87931,1.36258,0.69039,0.63913,0.65468,0.40285,1.91959,1.71024,2.3021,0.00110589,0.00110589,0.00110589
53,784.359,1.04157,0.8597,1.34495,0.64758,0.64268,0.65025,0.40852,1.81875,1.62871,2.20949,0.00109489,0.00109489,0.00109489
54,799.538,1.08444,0.92057,1.36537,0.66371,0.64087,0.68699,0.43459,1.8113,1.58566,2.13361,0.00108388,0.00108388,0.00108388
55,814.805,1.08365,0.89072,1.37577,0.70721,0.63834,0.68282,0.43777,1.73557,1.67534,2.0923,0.00107288,0.00107288,0.00107288
56,830.081,1.03029,0.86352,1.34384,0.70198,0.68011,0.70544,0.44139,1.73036,1.53636,2.14114,0.00106188,0.00106188,0.00106188
57,845.285,1.01124,0.85772,1.3259,0.77546,0.63913,0.72388,0.42599,1.82611,1.53269,2.26718,0.00105088,0.00105088,0.00105088
58,861.011,0.99566,0.82095,1.33122,0.68862,0.67405,0.69277,0.41057,1.89717,1.58168,2.37469,0.00103987,0.00103987,0.00103987
59,876.245,1.03225,0.81974,1.34941,0.70435,0.68261,0.67357,0.41083,1.97487,1.51261,2.36956,0.00102887,0.00102887,0.00102887
60,891.332,1.03433,0.84916,1.35239,0.66262,0.66087,0.63221,0.37298,1.93971,1.65659,2.29711,0.00101787,0.00101787,0.00101787
61,906.344,0.99548,0.82916,1.30801,0.70618,0.59913,0.67213,0.38471,1.84885,1.49322,2.28955,0.00100687,0.00100687,0.00100687
62,921.279,0.99454,0.80309,1.33556,0.61616,0.64087,0.67426,0.40478,1.87885,1.51433,2.25655,0.000995866,0.000995866,0.000995866
63,936.288,0.96489,0.78194,1.31264,0.88687,0.49739,0.68314,0.41094,1.89605,1.55657,2.29508,0.000984864,0.000984864,0.000984864
64,951.132,1.00545,0.84888,1.31609,0.74919,0.57003,0.71559,0.39824,1.92432,1.44882,2.32957,0.000973861,0.000973861,0.000973861
65,966.311,0.9962,0.85755,1.34575,0.71938,0.59734,0.70034,0.4189,1.83357,1.37798,2.35265,0.000962859,0.000962859,0.000962859
66,981.538,0.97621,0.8049,1.29475,0.78497,0.60087,0.69458,0.42144,1.79288,1.61192,2.22885,0.000951857,0.000951857,0.000951857
67,997.128,0.94523,0.78645,1.27808,0.78676,0.58087,0.68776,0.41362,1.70993,1.52152,2.17056,0.000940855,0.000940855,0.000940855
68,1012.95,0.98659,0.82285,1.32529,0.73729,0.63458,0.68003,0.41176,1.80847,1.50388,2.31673,0.000929853,0.000929853,0.000929853
69,1028.48,0.92817,0.76305,1.2593,0.76071,0.57913,0.72055,0.42811,1.79355,1.459,2.23118,0.00091885,0.00091885,0.00091885
70,1044.1,0.98805,0.77016,1.29854,0.69259,0.65913,0.68648,0.41302,1.82788,1.54256,2.23929,0.000907848,0.000907848,0.000907848
71,1059.99,0.93258,0.75529,1.28772,0.68016,0.72618,0.72882,0.41525,1.81712,1.55061,2.24261,0.000896846,0.000896846,0.000896846
72,1075.74,0.92241,0.79346,1.28475,0.81375,0.53913,0.68538,0.37948,1.8429,1.49334,2.3245,0.000885844,0.000885844,0.000885844
73,1090.97,0.93214,0.76022,1.30048,0.67143,0.56403,0.61615,0.34954,2.00804,1.67419,2.46762,0.000874842,0.000874842,0.000874842
74,1107.12,0.93062,0.78626,1.29367,0.69092,0.43739,0.54118,0.31453,1.9685,1.77847,2.45072,0.000863839,0.000863839,0.000863839
75,1123.04,0.88909,0.74184,1.2374,0.61136,0.61667,0.65118,0.37719,1.8929,1.59199,2.27907,0.000852837,0.000852837,0.000852837
76,1139.34,0.91289,0.74589,1.22913,0.73396,0.68127,0.69923,0.41864,1.82814,1.52175,2.20137,0.000841835,0.000841835,0.000841835
77,1155.35,0.8941,0.72548,1.24591,0.76797,0.63786,0.71068,0.42855,1.8342,1.41795,2.23183,0.000830833,0.000830833,0.000830833
78,1171.21,0.90986,0.69757,1.27503,0.78918,0.60964,0.68068,0.40376,1.95351,1.56081,2.3333,0.000819831,0.000819831,0.000819831
79,1187.32,0.90771,0.73471,1.2726,0.74448,0.62711,0.71745,0.41434,1.93718,1.50712,2.292,0.000808828,0.000808828,0.000808828
80,1203.86,0.874,0.70636,1.22026,0.82865,0.55864,0.70127,0.40767,1.89045,1.61806,2.29697,0.000797826,0.000797826,0.000797826
81,1219.4,0.83971,0.6977,1.20202,0.91567,0.59913,0.74182,0.42588,1.93858,1.52773,2.30972,0.000786824,0.000786824,0.000786824
82,1235.31,0.87533,0.71527,1.23979,0.80178,0.61913,0.74598,0.42662,1.88372,1.39315,2.32857,0.000775822,0.000775822,0.000775822
83,1250.75,0.86692,0.71784,1.23711,0.82985,0.64076,0.7451,0.45257,1.84404,1.26142,2.24053,0.00076482,0.00076482,0.00076482
84,1266.56,0.84791,0.68546,1.21107,0.89102,0.61671,0.74372,0.45749,1.79175,1.32684,2.23416,0.000753817,0.000753817,0.000753817
